2020-09-16 11:24:47.530 INFO  Starter:26 - #####################################
2020-09-16 11:24:47.532 INFO  Starter:27 - Starte Tetris
2020-09-16 11:24:47.533 INFO  Starter:28 - Erstelle Context und Beans...
2020-09-16 11:24:47.795 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:24:47.796 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:24:47.821 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:24:47.822 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:24:47.941 INFO  Starter:39 - Lade Spiellayout...
2020-09-16 11:24:47.944 INFO  Starter:42 - Initialisierunge Gamecontroller...
2020-09-16 11:24:48.82 INFO  Starter:51 - Spiel erfolgreich gestartet.
2020-09-16 11:24:48.83 INFO  Starter:52 - #####################################
2020-09-16 11:24:53.478 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:24:57.801 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:25:01.530 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:25:03.491 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:25:10.962 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:25:14.110 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:25:16.538 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:25:19.290 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:25:26.186 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:25:36.358 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-17 10:39:00.787 INFO  Starter:23 - #####################################
2020-09-17 10:39:00.789 INFO  Starter:24 - Starte Tetris
2020-09-17 10:39:00.789 INFO  Starter:25 - Erstelle Context und Beans...
2020-09-17 10:39:01.54 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:39:01.54 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:39:01.79 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:39:01.81 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:39:01.347 INFO  Starter:39 - Spiel erfolgreich gestartet.
2020-09-17 10:39:01.348 INFO  Starter:40 - #####################################
2020-09-17 10:39:04.616 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:39:04.617 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:39:04.617 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:39:04.618 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:44:35.695 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:44:35.697 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:44:35.698 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:44:35.700 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:44:35.712 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:44:35.712 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:44:35.713 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:44:35.713 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:44:35.729 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:44:35.729 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:44:35.729 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:44:35.730 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:44:35.736 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:44:35.736 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:44:35.737 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:44:35.737 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:46:56.835 INFO  Starter:23 - #####################################
2020-09-17 10:46:56.837 INFO  Starter:24 - Starte Tetris
2020-09-17 10:46:56.838 INFO  Starter:25 - Erstelle Context und Beans...
2020-09-17 10:46:57.103 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:46:57.103 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:46:57.128 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:46:57.129 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:46:57.392 INFO  Starter:39 - Spiel erfolgreich gestartet.
2020-09-17 10:46:57.393 INFO  Starter:40 - #####################################
2020-09-17 10:46:58.899 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:46:58.899 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:46:58.900 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:46:58.900 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:48:25.871 INFO  Starter:23 - #####################################
2020-09-17 10:48:25.874 INFO  Starter:24 - Starte Tetris
2020-09-17 10:48:25.874 INFO  Starter:25 - Erstelle Context und Beans...
2020-09-17 10:48:26.154 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:48:26.155 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:48:26.180 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:48:26.181 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:48:26.437 INFO  Starter:39 - Spiel erfolgreich gestartet.
2020-09-17 10:48:26.438 INFO  Starter:40 - #####################################
2020-09-17 10:49:18.553 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:49:18.553 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:49:18.554 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:49:18.555 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:49:33.83 INFO  Starter:23 - #####################################
2020-09-17 10:49:33.85 INFO  Starter:24 - Starte Tetris
2020-09-17 10:49:33.85 INFO  Starter:25 - Erstelle Context und Beans...
2020-09-17 10:49:33.356 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:49:33.356 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:49:33.382 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:49:33.383 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:49:33.646 INFO  Starter:39 - Spiel erfolgreich gestartet.
2020-09-17 10:49:33.647 INFO  Starter:40 - #####################################
2020-09-17 10:49:34.965 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:49:34.965 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:49:34.966 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:49:34.967 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:49:53.246 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:49:53.247 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-17 10:49:53.248 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-17 10:49:53.249 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-17 10:49:53.260 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-17 10:49:53.260 INFO  FieldGrid:45 - Erstelle vertikale Linien
